Player_ID,Daily_Play_Time,Purchase_Frequency,Task_Completion,Achievements
1,2.496714153011233,2,29,13
2,1.8617356988288154,2,13,5
3,2.6476885381006925,0,5,4
4,3.5230298564080256,0,15,1
5,1.765846625276664,0,7,5
6,1.7658630430508195,0,24,10
7,3.5792128155073915,0,27,5
8,2.767434729152909,0,8,4
9,1.5305256140650478,0,22,6
10,2.5425600435859645,1,27,10
11,1.5365823071875377,1,10,4
12,1.534270246429743,1,7,14
13,2.241962271566034,2,26,7
14,0.5,1,15,7
15,0.5,0,19,2
16,1.4377124707590272,2,26,3
17,0.9871688796655762,1,9,1
18,2.314247332595274,1,24,8
19,1.0919759244787892,0,14,9
20,0.5876962986647085,1,16,4
21,3.465648768921554,0,19,6
22,1.7742236995134644,0,21,9
23,2.0675282046879238,1,14,6
24,0.5752518137865432,1,10,14
25,1.4556172754748173,1,22,12
26,2.1109225897098662,0,17,12
27,0.8490064225776972,0,7,12
28,2.375698018345672,0,28,9
29,1.399361310081195,0,14,4
30,1.7083062502067232,1,18,8
31,1.398293387770603,1,10,9
32,3.852278184508938,2,7,4
33,1.986502775262066,1,20,5
34,0.9422890710440996,0,11,14
35,2.822544912103189,3,24,8
36,0.7791563500289778,2,18,12
37,2.2088635950047553,0,13,10
38,0.5,2,19,14
39,0.6718139511015695,0,25,6
40,2.1968612358691235,1,7,12
41,2.7384665799954107,0,6,7
42,2.1713682811899706,0,6,3
43,1.8843517176117595,2,7,7
44,1.6988963044107113,0,22,12
45,0.5214780096325726,1,18,14
46,1.2801557916052912,1,24,8
47,1.5393612290402126,1,22,10
48,3.0571222262189157,0,14,6
49,2.3436182895684614,2,29,10
50,0.5,1,6,9
51,2.324083969394795,2,29,13
52,1.6149177195836835,0,26,6
53,1.3230779996940414,2,5,12
54,2.6116762888408678,0,8,9
55,3.030999522495951,2,18,13
56,2.931280119116199,2,5,4
57,1.1607824767773613,0,18,8
58,1.6907876241487854,0,20,11
59,2.331263431403564,1,26,4
60,2.975545127122359,3,18,2
61,1.52082576215471,1,24,10
62,1.814341023336183,1,7,11
63,0.8936650259939718,1,7,9
64,0.8037933759193292,0,13,5
65,2.812525822394198,0,10,4
66,3.3562400285708227,2,29,2
67,1.927989878419666,2,17,1
68,3.003532897892024,0,25,11
69,2.361636025047634,0,6,7
70,1.3548802453948756,2,12,6
71,2.361395605508414,2,25,2
72,3.538036566465969,1,6,8
73,1.9641739608900484,1,8,11
74,3.564643655814006,3,29,4
75,0.5,2,19,8
76,2.821902504375224,1,8,7
77,2.087047068238171,1,17,5
78,1.7009926495341325,3,16,10
79,2.0917607765355024,2,17,10
80,0.5,3,18,12
81,1.780328112162488,1,24,8
82,2.3571125715117462,0,22,14
83,3.4778940447415163,1,10,9
84,1.4817297817263526,0,15,5
85,1.1915063971068123,1,6,10
86,1.4982429564154636,1,27,5
87,2.915402117702074,0,23,2
88,2.3287511096596845,1,23,5
89,1.4702397962329612,0,9,3
90,2.513267433113356,1,23,7
91,2.0970775493480405,0,6,10
